,name,latitude,longitude,rating,number of reviews,affluence
0,amontron,23.8074103,90.3684121,5.0,3.0,
1,Bay Leaf Restaurant,23.8098891,90.3675571,3.7,950.0,$$
2,VIP's Restaurant & Party Center,23.8024213,90.35328779999999,3.7,426.0,$$
3,Kathbadam Restaurant,23.8057704,90.36531719999999,3.7,861.0,$$
4,Green Mango Restaurant,23.805184,90.36115319999999,3.8,220.0,$$
5,শহুরে হাট ২য় শাখা মিরপুর ১২,23.8051145,90.3610136,3.7,372.0,$$
6,Howzatt Food And Cafe,23.8079404,90.3617361,4.1,580.0,$$
7,Cafe Dastarkhana,23.8100811,90.364886,4.2,2274.0,$$
8,Agri Kitchen,23.803125,90.3579844,4.0,295.0,$$
9,7 Heaven Restaurant,23.7986586,90.3644085,3.6,422.0,$$
10,Hot Burger,23.8101606,90.36842449999999,4.1,65.0,$$
11,Live...Burger,23.8101692,90.3684742,4.4,14.0,
12,Yellows' Kitchen,23.7972324,90.3651482,3.9,798.0,$$
13,Piyang King Restaurant,23.8065146,90.3720975,3.9,280.0,$$
14,Spicy Treat,23.7971608,90.3651783,4.3,50.0,
15,Xinxian Restaurant- Mirpur 10,23.812559,90.3668544,4.0,2476.0,$$$
16,PERI PASTA,23.803441,90.3547506,4.0,1847.0,$$
17,Astha food,23.8128322,90.36720269999999,3.9,102.0,
18,KFC,23.8004059,90.3556354,4.1,1450.0,$$
19,Pizza Inn,23.8003709,90.35558449999999,4.1,2384.0,$$$
20,City Mahal Chinese Restaurant And Convention Center Ltd.,23.7996973,90.3556998,3.7,1525.0,$$
21,Supreme Diners,23.80104,90.35427659999999,3.9,1290.0,$$
22,Sub Station Restaurant,23.8060303,90.3520181,4.0,108.0,
23,Paradise Food Products Ltd.,23.7986485,90.35380479999999,3.5,4.0,
24,"Grand Prince Thai & Chinese Restaurant, Dhaka.",23.7986938,90.353725,3.9,1212.0,$$
25,KKFC,23.8138322,90.3561682,3.8,144.0,
26,Sky Shop BD,23.7988994,90.3532316,4.2,18.0,
27,Thakana Bahamukhi Samabay Samity Ltd.,23.8052647,90.37634349999999,2.5,2.0,
28,Burger Khor,23.7994527,90.3521074,4.1,161.0,$$
29,Senator Restaurants,23.8156375,90.37119299999999,4.2,10.0,
30,VOOTER BARI,23.81817,90.365804,4.0,711.0,$$
31,SOHEL TELECOM,23.818245,90.36726449999999,2.3,7.0,
32,Six Season Chinese Restaurant,23.817097,90.35609679999999,4.0,956.0,$$
33,American Burger Mirpur,23.8192162,90.3655036,4.0,519.0,$$
34,Goonjon Bangla Cafe,23.8204655,90.3652281,3.8,113.0,$$
35,Iktena,23.7896962,90.3664747,4.0,104.0,
